director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Thriller,insidious: the last key
Christopher Radcliff,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones
Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter
Babak Najafi,Taraji P. Henson,Jahi Di'Allo Winston,Billy Brown,Thriller Action Crime,proud mary
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action Drama Crime Thriller,acts of violence
Trudie Styler,Alex Lawther,Abigail Breslin,AnnaSophia Robb,Comedy Drama,freak show
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Documentary,humor me
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong
Christian Gudegast,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,Action Crime Thriller,den of thieves
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama,forever my girl
Jesse Keller,Carr Cavender,Molly Beucher,Connor Sullivan,Drama Thriller,thane of east county
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester
n Lelio,Daniela Vega,Francisco Reyes Morandé,,Drama,a fantastic woman
Mario Van Peebles,Mario Van Peebles,Ryan Guzman,Columbus Short,Action Thriller,armed
Julius Onah,Gugu Mbatha-Raw,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Thriller,the cloverfield paradox
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples
Will Gluck,Rose Byrne,Domhnall Gleeson,Sam Neill,Animation Adventure Family,peter rabbit
R. Balki,Akshay Kumar,Radhika Apte,,Comedy Drama,pad man
James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Drama Romance,fifty shades freed
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Drama Thriller,the 15:17 to paris
Brian Crano,Rebecca Hall,Dan Stevens,Gina Gershon,Comedy Romance Drama,permission
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits
Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther
Mark Pellington,Jon Hamm,Catherine Keener,John Ortiz,,nostalgia
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson
Jonathan Goldstein,Jason Bateman,Rachel McAdams,Billy Magnussen,Mystery Comedy Crime,game night
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Science Fiction Horror,annihilation
Michael Sucsy,Angourie Rice,Justice Smith,Debby Ryan,Romance Fantasy,every day
David Freyne,Elliot Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Thriller Mystery,red sparrow
Eli Roth,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Action Crime Thriller Drama,death wish
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery Romance,the vanishing of sidney hall
Usher Morgan,Elyse Price,Katie Vincent,Joel Bernard,Thriller Action Crime Drama Mystery,pickings
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action Crime,gringo
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Romance Drama,thoroughbreds
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Adventure Crime Thriller,the hurricane heist
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider
Greg Berlanti,Nick Robinson,Josh Duhamel,Jennifer Garner,Comedy Drama Romance,"love, simon"
Erwin brothers,J. Michael Finley,Madeline Carroll,Trace Adkins,Music Drama,i can only imagine
Padilha,Rosamund Pike,Daniel Brühl,Eddie Marsan,Drama Thriller TV Movie History,entebbe
Laurie Collyer,Tessa Thompson,Melissa Leo,Whoopi Goldberg,Comedy,furlough
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Comedy Drama,flower
Steven S. DeKnight,John Boyega,Scott Eastwood,Jing Tian,Action Fantasy Science Fiction Adventure,pacific rim uprising
Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Adventure Comedy Animation,isle of dogs
John Stevenson,James McAvoy,Emily Blunt,Chiwetel Ejiofor,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane
Andrew Hyatt,Jim Caviezel,Olivier Martinez,James Faulkner,Drama,"paul, apostle of christ"
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,History Drama,final portrait
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Adventure Action Science Fiction,ready player one
Tyler Perry,Taraji P. Henson,Lyriq Bent,Crystle Stewart,Drama Thriller,acrimony
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness
Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Mystery Crime Drama Thriller,gemini
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star
John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,Horror Drama Science Fiction,a quiet place
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers
Lynne Ramsay,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,Crime Drama Thriller,you were never really here
John Curran,Jason Clarke,Kate Mara,Ed Helms,History Drama Thriller,chappaquiddick
Sean McNamara,Erin Moriarty,Helen Hunt,William Hurt,Drama,the miracle season
Barry Levinson,Al Pacino,Riley Keough,Kathy Baker,Drama TV Movie,paterno
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Horror Thriller Mystery,truth or dare
Zhao,Brady Jandreau,Lilly Jandreau,Tim Jandreau,Drama Western,the rider
